LocationID,Zone,medincome,total_pop1,fpl_100,fpl_100to150,median_rent,total_hholds1,hholds_snap,over16total_industry1,ag_industry,construct_industry,transpo_and_utilities_industry,total_commute1,drove_commute,pubtrans_bus_commute,pubtrans_subway_commute,pubtrans_ferry_commute,taxi_commute,bicycle_commute,walked_commute,workhome_commute,unemployed,under19_noinsurance,age19_34_noinsurance,age35_64_noinsurance,age65plus_noinsurance,hisplat_raceethnic,nonhispLat_white_raceethnic,nonhispLat_black_raceethnic,nonhispLat_amerindian_raceethnic,nonhispLat_asian_raceethnic,age65_plus,fpl_150,not_insured,ZCTA_IDs
1.0,Newark Airport,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2.0,Jamaica Bay,,14.393143980649604,2.06642981479296,1.1998636936918146,,5.336486941688693,,6.874121138197747,0.0,0.016692546821593313,0.00859687329613956,6.7565060870776446,0.060543701756962234,0.023026063927347566,0.0006757851431243726,0.0,0.0,0.0002326473443542922,0.0014401978460027614,0.003367847270652611,0.027320707667562814,0.15066685158182735,0.29069706842902515,0.4173584099705604,0.03212749041083083,0.04115170421584511,0.0506514236925624,0.03563511716392191,0.0,0.005637176776240743,0.29247094718825306,0.04658326657180442,0.009593785968183291,"11430, 11693"
3.0,Allerton/Pelham Gardens,65397.81775206412,72380.2181662445,10893.432711613626,5640.781363784889,1412.9999933369575,22298.42726051223,19.689440058611318,32802.383705399785,0.0900333255559692,6.010089937407605,9.099785019995196,31897.444859677813,47.62904999736608,11.679472068085675,1.6799116995427001,0.0,1.0299799973639971,0.21004998328620245,4.230498262541951,1.9401182831265797,8.499914996999546,301.9826705123483,1411.0218219748901,2254.891506542715,173.98067127512587,28.97319749107003,10.043445700891882,52.84244709789281,0.19998833304358432,6.120936357835271,1665.8816868224478,22.8401582491942,5.720188282845933,"10469, 10475, 10461"
4.0,Alphabet City,63467.357931703635,58144.20142900685,13676.276448944333,3518.376195839318,1716.2100604847396,29679.076454245285,18.04604670851204,31717.662879777272,0.1495942971504687,1.7850842000910525,3.1628478182017448,30733.244900807138,5.131545699191998,10.558151473960516,0.947273890574988,0.0005678854118458253,1.92267290596886,5.790287079705203,18.803912239137457,5.752329993983136,4.21165280772382,58.12393777654454,1403.569870148484,1212.4460164173643,67.00990887501219,23.72115552573185,51.3524370744279,7.785093113189509,0.0708406986471069,14.080305411096532,1391.3367909907695,29.472189753643494,4.696982862495468,"10009, 10002"
5.0,Arden Heights,97407.0,61392.0,3602.0,2937.0,1280.0,21318.0,3.73,28106.0,0.04,6.85,7.23,27715.0,73.34,16.16,1.17,1.97,0.0,0.02,0.99,2.92,4.75,199.0,375.0,582.0,151.0,11.34,81.18,0.84,0.15,5.32,1934.0,10.65,2.13,10312
6.0,Arrochar/Fort Wadsworth,73773.65414553332,41428.095316147985,5601.012865235763,2859.5257763156615,1253.248908827558,14215.127234374371,14.558810603377612,17985.2878477337,0.09600478017952627,6.941311053406543,7.3375428648870065,17665.432067159676,54.472153537917734,25.5696676773899,0.7197103135694293,3.935497170149241,0.0676645817633619,0.5796814415143534,2.695994958140563,2.442401896642806,6.009843668443841,197.22756220909343,742.0030015340359,843.1225872145392,131.63478304502019,16.76178001263969,55.173561948936964,9.86052085126687,0.0314769771080414,13.814535748893157,736.5883063303171,19.94803777546613,4.515985341338355,"10304, 10305"
7.0,Astoria,72296.35396401228,38647.5071803824,4697.6388451897565,3449.2247909811526,1712.5406604933837,16677.669426443925,10.198413242608929,22893.021119197267,0.055040813908556044,4.759600181889064,5.977084588566863,22011.321713325055,14.852304316191,3.379386697618297,0.8742828889417894,0.14491123305128653,0.5993744712356736,1.520649171846873,6.634765473369504,3.28638103741219,5.697856262724498,86.59244679597658,1398.736920671274,1622.3269618780153,79.25092961386596,25.865112524425232,48.10117034820155,4.591314886316926,0.07045543808156372,18.295853168261473,712.7035630768698,21.112107444077413,8.123272619987652,"11102, 11101, 11106, 11103, 11377, 11105"
8.0,Astoria Park,68712.89796874854,28637.915744824164,4560.185140038613,2560.6583422002677,1701.7352362869597,12461.604741684883,12.614386579985371,16379.894870355616,0.17325953531424615,4.120797631931517,4.822487447178144,15393.504854411107,14.62737285638194,3.07995417725075,0.5099884332626701,0.4904776145401163,0.34637132652362784,1.7222142040429353,5.428787185406782,3.668359591080645,4.3880480206823895,37.63067484941973,901.8825395046879,1210.8474145851021,51.02926123020967,26.23215063572233,43.78045371308595,7.9641939860250055,0.07695692117797635,15.261387462618709,475.71370820870993,23.93831291604691,7.400731159478858,"11102, 11105"
9.0,Auburndale,68599.31712840746,40398.61272528567,4356.817138346711,3750.958232759048,1647.634413844784,14302.509044082644,8.69896588533941,19117.16227682345,0.1318212588988669,7.237317739077525,6.459501461267095,18582.18158336045,54.80722280622796,13.840888831510656,4.892946145186671,0.0,0.19574619886711453,0.09746823873062638,3.4087593292095955,2.4401170387452544,7.110412362060131,320.20745040952005,1359.5433899467957,2011.1966262743513,128.04460716526194,18.112564396143526,28.91075365815154,4.17301399794337,0.32465794744612975,45.9222319890927,924.3616226912384,19.997394287721338,9.544937767045667,"11365, 11358, 11361, 11364"
24.0,Bloomingdale,101334.52919914156,85841.2217980391,10986.472474595532,4901.241566444239,1731.1924003458353,38877.60433088221,10.671758233956917,46168.643907963866,0.10564047850870824,2.1198050195378144,1.4927465851218058,44899.0590390217,6.850584538732677,4.944713725000674,1.2496129422306144,0.0,2.558876563377777,2.3012078001881635,11.931471906172984,10.37222922151661,5.192538917411731,225.5262518210281,1581.2093383692966,1409.0775285781965,101.67943532461337,21.15073889999605,58.46171748459096,8.320606793139918,0.07313743404505445,9.36262985770001,4772.826543464428,17.97203913671825,3.8162422423327467,"10025, 10024, 10026"
