LocationID,Zone,ZCTA_IDs,intersection_shares,medincome,total_pop1,fpl_100,fpl_100to150,median_rent,total_hholds1,hholds_snap,over16total_industry1,ag_industry,construct_industry,transpo_and_utilities_industry,total_commute1,drove_commute,pubtrans_bus_commute,pubtrans_subway_commute,pubtrans_railroad_commute,pubtrans_ferry_commute,taxi_commute,bicycle_commute,walked_commute,workhome_commute,unemployed,under19_noinsurance,age19_34_noinsurance,age35_64_noinsurance,age65plus_noinsurance,hisplat_raceethnic,nonhispLat_white_raceethnic,nonhispLat_black_raceethnic,nonhispLat_amerindian_raceethnic,nonhispLat_asian_raceethnic,age65_plus,fpl_150,not_insured,no_vehicles,time_to_work,median_age,park_coverage,beach_coverage,park_area,beach_area
103.0,Governor's Island/Ellis Island/Liberty Island,10004,0.9048054125641922,190223.0,3335.0,43.99999999999999,26.0,3324.0,1777.0,0.0,2388.0,0.0,0.96,1.26,2384.0,6.040000000000001,0.4199999999999999,48.66,1.72,0.2099999999999999,0.71,0.2099999999999999,29.78,12.25,3.6,30.0,53.0,59.0,0.0,3.24,59.28,3.96,0.0,29.06,90.0,2.1,4.26,78.22,23.219999999999995,37.4,0.0,0.0,0.0,0.0
106.0,Gowanus,"11217, 11215, 11231, 11232","0.07133972211465056, 0.912925946732686, 0.01052309240675505, 0.005211238745907184",131190.2591257878,68351.07674173331,4954.080261435718,1889.5187625274552,2259.5469910040533,27869.385685193814,5.265962380143052,40292.97400468582,0.0713417678738122,2.408664758239361,1.3202700512293508,39687.5901256756,10.11549846977634,1.308005739909179,66.58360759877425,0.6407494924880223,0.0031651297742254,0.305833088286476,3.395466056373893,8.218034056697984,8.893428405113452,3.788846684367144,223.30669173330543,804.7514766994541,926.2263669079,6.774592759820822,15.160880324706902,66.73352803230952,4.639432292328136,0.0773479609229149,8.061426178993724,2116.729140552361,10.214361596993037,2.8954270888424807,52.67489615592398,35.954955249900884,36.40753741428249,0.9652287844798176,0.0,1.0966623140371967e-06,0.0
107.0,Gramercy,"10003, 10016, 10009, 10010","0.5064494195504394, 0.06963348221440993, 0.005407991098268393, 0.4185091071368382",123269.1761131306,48062.3965208758,4005.778715750954,1039.254754624467,2408.310740510335,23328.03296263542,3.907461205844992,29111.74586024905,0.0105519373142312,1.1276565323390886,1.303485209308493,28811.517059978283,6.269589090947146,5.24782407160146,44.00604220731484,1.577029426123938,0.05829188312634,2.8199234382367164,3.77806832346619,28.394050288071064,6.839143286434151,4.427447004906616,55.90780088875778,967.2163008901658,696.8113869663999,45.29075823390821,9.228145013854965,66.01862811326622,6.54017517340301,0.0606926200629786,15.467742113519188,1948.6450262472997,10.660415399888077,3.65917101954761,77.13934285741954,25.029160369316237,33.42162716315524,2.3351047798480886,0.0,1.7422501474183304e-06,0.0
108.0,Gravesend,"11223, 11214, 11224, 11235","0.5948856467237217, 0.3771984409336808, 0.00028471658295245065, 0.016498928601492473",55221.13428427551,85987.76503683052,15043.81742350651,10609.4482988553,1382.4588643515383,29614.92406805037,25.34266572305295,38430.466736932736,0.1348200968675923,8.319312333484831,8.426635841156196,37514.44647805335,29.11877757368285,7.816332594928705,47.833473249803774,0.5856803935738485,0.0123810070152638,0.3637109022505346,0.9342929341783788,7.810051790387484,5.011978767591978,6.737716380265124,429.5886462253602,3274.814149622687,3542.5614423607394,112.42312290896098,15.816158812349135,48.133904991351365,2.862469706556726,0.1618082662551238,29.80172845551771,1664.7409868098991,29.89833459197819,8.43158882452858,43.20794078122878,43.432564001239705,37.97237506353145,13.204504749818833,0.0,4.659420898030209e-05,0.0
109.0,Great Kills,"10308, 10306, 10312","0.6120106859199649, 0.17449711375770272, 0.20893226868695708",96059.2011052008,45346.82442140378,2874.0812703211923,2186.1079062665167,1513.9771432439477,16224.640758459116,5.31441549087445,21119.91040943356,0.0127345051024561,7.978401492958418,7.106180645752183,20822.419804533853,68.94972446220197,18.38636852187803,3.4137571191094933,1.1104920659275703,3.048022401959427,0.1200512216513026,0.2038003282222559,1.3940632985772774,2.6464831556925,5.174039379848427,140.39653178771889,405.9548691928925,571.4942826112034,62.76185788856953,11.14373379692851,80.60299918539897,1.4589814387655482,0.0997680020948969,5.606082783938862,1274.5250546283614,10.503713547727124,2.5397655298631148,9.712894762187226,45.22732372341426,42.74096743258978,2.3134056660206057,0.0,2.705761029445807e-05,0.0
110.0,Great Kills Park,"10308, 10306","0.0011059875424629328, 0.0026770639563019707",84929.48754606042,49380.69242284676,4257.72220383463,2960.980269811305,1443.9405118711709,18409.115469663742,8.74181501997823,23415.8441319937,0.0,7.738954166837195,8.013539197316126,23048.94909858265,65.80628649715675,19.752667669680456,3.5732171296485773,1.2246381172523717,3.982068955665527,0.3227927211607837,0.0956612397550925,1.9045130657720415,2.6275558898934848,4.780674511448453,166.9624845559011,792.7673275920542,807.8847993290315,15.39901491906391,14.316676696804542,74.38150828321723,2.699075385590888,0.0573815843663505,6.775858255942311,1274.049254046805,14.050117386027058,3.492891229254393,14.926426593843882,43.70785907962759,43.65236831267299,3.562644637852272,0.0,1.8730429570634935e-05,0.0
111.0,Green-Wood Cemetery,"11219, 11218, 11215, 11232","6.816381740302316e-06, 5.728538491696838e-05, 0.9994410460937402, 0.0004948521396151646",132073.44803724613,69865.18668292735,4927.716144537753,1867.60813414654,2269.8197441058287,28441.06379623151,4.853884311166267,41223.19821517533,0.0700031135634149,2.4110871305622563,1.2709682808381473,40609.22237579167,10.241400779416344,1.241052148756438,66.52780160695822,0.6301288938572557,1.7815751633151289e-06,0.2801668404778908,3.4198044361758333,8.180727145452842,8.968735710445268,3.6707323413329886,230.00541086574543,808.1674093817389,936.2223899236228,6.017160492156079,15.006653073927088,67.61066024276116,3.900467510495568,0.0800459599564377,8.042731647604876,2191.6328018812123,9.725101870122057,2.831912892895289,51.83211514296187,36.12065466162478,36.4994213424684,0.0,0.0,0.0,0.0
112.0,Greenpoint,"11211, 11222","0.006328675699590634, 0.9916855299147385",93273.01651009104,38033.735007337455,4129.302969049229,2078.156724903411,2049.878221673818,17849.12034661636,8.997097424679973,24848.539042597684,0.0296492928386477,5.140900997410683,2.502109088869574,24307.47180870629,13.321602411733386,2.7094690933565118,60.86634665021456,0.3596492928386477,1.9777155575497496,1.2412323209661933,4.538256155996159,9.149951540985397,5.206127683520744,3.713146672649249,116.59620217429884,1352.161785056587,1177.4618245043205,68.1402828645409,15.533434383091617,73.54394015909969,2.9508719220019204,0.1703507071613522,4.341217783261812,655.9927311478093,15.72597261467401,7.190365244865732,62.1106529553081,35.20057451975662,34.83161210353631,1.3144800854243421,0.0,6.0738006669190425e-06,0.0
113.0,Greenwich Village North,"10003, 10012, 10011, 10014","0.6725484938678286, 7.413197138100181e-06, 0.32740873678187826, 3.535615306033475e-05",124407.15225396302,52725.44092236617,4317.911944553182,1188.7054202013787,2298.3929504294806,26988.78784138961,4.149582617156973,32544.73486510264,0.0590087395855027,0.4824339466071739,1.1950067126032446,32044.436327095995,5.470700505187634,3.141231320651502,48.268408790518365,1.4237835709151885,0.1234779410824158,2.8788520524818133,3.779291696031674,26.541888138347925,7.366897077742479,4.615580036978694,36.01976201712767,922.0750219547152,777.6880241119418,28.955274333172785,9.530752188174686,70.1396411037958,4.991252022941544,0.0620465492475606,12.6957743224264,2415.2693433933982,10.488204730392416,3.327309523807648,78.57623627579679,23.04655638567514,35.26418429937575,0.0,0.0,0.0,0.0
114.0,Greenwich Village South,"10003, 10012, 10011, 10014","0.09210298720657598, 0.8222675984006652, 0.07828958904922537, 0.007339825343604456",113133.95611310762,32446.0099553186,3062.83976545156,1114.207946217351,2274.259339834587,17002.068577882084,4.460349499882802,20390.495863405125,0.1076383789728923,1.0956926781000904,1.0044106679664442,20104.694505447205,5.2531721561489455,2.268135366231084,47.50444118180143,2.027612812374789,0.0444872275387221,2.544279043546326,4.596856575847828,26.39409036261457,8.473541355233502,4.240463740897911,31.240757332257967,530.3276330931266,663.5605937129458,44.01336123857138,8.445033314673314,69.467359448108,3.1170357734609584,0.0158223832303943,16.146995344563987,1581.9645381924088,13.707593048493468,4.188126901960908,80.93752183382125,22.4411021116313,34.85576587429217,9.444174135265083,0.0,4.440723445243924e-06,0.0
