"GEOID","medincome","total_pop1","fpl_100","fpl_100to150","median_rent","total_hholds1","hholds_snap","over16total_industry1","ag_industry","construct_industry","transpo_and_utilities_industry","total_commute1","drove_commute","pubtrans_total_commute","pubtrans_bus_commute","pubtrans_subway_commute","pubtrans_railroad_commute","pubtrans_ferry_commute","taxi_commute","bicycle_commute","walked_commute","workhome_commute","unemployed","under19_noinsurance","age19_34_noinsurance","age35_64_noinsurance","age65plus_noinsurance","hisplat_raceethnic","nonhispLat_white_raceethnic","nonhispLat_black_raceethnic","nonhispLat_amerindian_raceethnic","nonhispLat_asian_raceethnic","age65_plus","no_vehicles","time_to_work","median_age","geometry","fpl_150","not_insured","age65_plus_share"
"11385",75340,107796,11487,9627,1573,35501,8.05,56233,0.15,10.5,7.3,55425,30.37,58.57,7.84,49.91,0.68,0,0.25,1.04,7.07,2.4,4.28,764,4988,6396,190,45.05,45.28,1.77,0.03,6.46,1607,42.27,41.03,35.2,"MULTIPOLYGON (((-73.92404 40.71401, -73.91304 40.71333, -73.9089 40.71306, -73.90881 40.7139, -73.90801 40.71301, -73.90285 40.71379, -73.8902 40.70825, -73.88553 40.70645, -73.88097 40.70637, -73.87492 40.70682, -73.87017 40.70921, -73.86501 40.71078, -73.86208 40.7122, -73.85976 40.71184, -73.85978 40.71163, -73.85962 40.71035, -73.85803 40.7105, -73.85755 40.71076, -73.85819 40.7116, -73.8573 40.71146, -73.85594 40.7064, -73.85475 40.70677, -73.85464 40.70529, -73.85215 40.70225, -73.85529 40.7026, -73.85529 40.70184, -73.85858 40.70124, -73.85815 40.7029, -73.86325 40.70339, -73.86916 40.70289, -73.86931 40.69935, -73.8708 40.69788, -73.86892 40.69515, -73.87402 40.69419, -73.87946 40.69123, -73.88378 40.68786, -73.88452 40.68669, -73.88961 40.68421, -73.89252 40.68342, -73.8942 40.68531, -73.89652 40.6824, -73.90116 40.68788, -73.90042 40.68818, -73.90207 40.692, -73.9058 40.69413, -73.90426 40.6957, -73.91181 40.69994, -73.91068 40.70105, -73.9129 40.70236, -73.91181 40.70343, -73.92189 40.7094, -73.92074 40.71053, -73.92404 40.71401)))",19.59,11.45,1.49
"11412",81608,37857,3082,2102,1470,11095,14.3,19358,0.04,3.6,11.48,18947,51.05,42.45,18.48,21.04,2.74,0.12,0.78,0.23,2.17,2.91,6.52,135,912,1217,232,5.93,1,86.27,0.71,2.51,946,19.71,46.28,40.9,"MULTIPOLYGON (((-73.77418 40.70509, -73.76725 40.70631, -73.76456 40.7074, -73.75336 40.7101, -73.75246 40.71032, -73.75047 40.70564, -73.74864 40.70159, -73.74619 40.69612, -73.74528 40.69411, -73.74812 40.69013, -73.74983 40.68791, -73.7504 40.68882, -73.76201 40.68455, -73.7662 40.69218, -73.76521 40.69279, -73.76989 40.69636, -73.77212 40.6987, -73.77563 40.70535, -73.77418 40.70509)))",13.69,6.59,2.5
"11419",75835,48369,5549,4182,1628,12167,16.65,24118,0.04,10.54,13.1,23840,41.62,51.5,15.26,34.61,1.47,0.12,0.31,0.16,4.58,1.2,8.45,286,2081,2719,201,18.83,4.02,15.07,0.76,33.98,909,26.18,47.22,38.4,"MULTIPOLYGON (((-73.83751 40.6913, -73.82091 40.69583, -73.81911 40.69576, -73.81372 40.69715, -73.81075 40.69192, -73.80802 40.68706, -73.81359 40.68471, -73.83175 40.67954, -73.83427 40.68533, -73.83511 40.68509, -73.83751 40.6913)))",20.12,10.93,1.88
"10001",92840,24117,3023,1456,2128,12997,10.05,15189,0.22,1.7,3.11,15060,4.26,50.14,4.29,42.92,2.41,0.33,2.17,3.07,32.15,6.28,5.31,3,313,425,0,15.51,54.58,5.74,0.07,22.3,732,84.77,25.86,36.9,"MULTIPOLYGON (((-74.00828 40.75027, -74.00703 40.75379, -74.00559 40.75589, -74.00284 40.75969, -74.00007 40.7584, -74.0015 40.75645, -73.99821 40.75587, -73.99866 40.75525, -73.99298 40.75285, -73.99253 40.75347, -73.98969 40.75228, -73.99013 40.75166, -73.98408 40.7491, -73.98775 40.74407, -73.99097 40.74542, -73.99206 40.74392, -73.99744 40.74616, -74.0004 40.74777, -74.00085 40.74715, -74.00653 40.74955, -74.00796 40.74926, -74.00828 40.75027), (-74.00143 40.75144, -73.99859 40.75024, -73.99812 40.7509, -74.00097 40.75205, -74.00143 40.75144), (-73.99768 40.75144, -73.99484 40.75029, -73.99201 40.7491, -73.99111 40.75032, -73.99395 40.75152, -73.99679 40.75272, -73.99768 40.75144)))",18.57,3.07,3.04
"10465",75617,43671,5316,2572,1417,15831,14.31,20188,0.15,6.19,7.58,19545,61.96,29.47,15.11,13.61,0.74,0,0.79,0.04,3.59,3.33,6.51,177,608,941,9,46.07,41.25,8.8,0,2.48,951,22.24,38.05,41.9,"MULTIPOLYGON (((-73.84281 40.82864, -73.84231 40.8288, -73.84228 40.83127, -73.83933 40.83355, -73.83932 40.83577, -73.8396 40.83827, -73.83936 40.84088, -73.83832 40.84065, -73.83844 40.83513, -73.83639 40.83584, -73.83531 40.83389, -73.83224 40.83527, -73.82923 40.83445, -73.82836 40.83328, -73.83117 40.8311, -73.82601 40.83402, -73.82584 40.83706, -73.82624 40.84299, -73.82518 40.8427, -73.82496 40.84611, -73.82048 40.8485, -73.81567 40.84886, -73.81441 40.8444, -73.81347 40.84397, -73.81352 40.84377, -73.8185 40.84415, -73.81567 40.84242, -73.81464 40.83907, -73.81557 40.83513, -73.81524 40.8315, -73.8152 40.83107, -73.81312 40.82749, -73.81385 40.82686, -73.81417 40.8259, -73.8138 40.82547, -73.81374 40.82408, -73.81322 40.82388, -73.81252 40.82449, -73.81176 40.82444, -73.80847 40.82586, -73.80776 40.82563, -73.80452 40.81855, -73.80048 40.81806, -73.7976 40.81581, -73.79733 40.8156, -73.80262 40.8123, -73.80459 40.81519, -73.80705 40.81631, -73.80549 40.81484, -73.80481 40.81205, -73.80244 40.81011, -73.80079 40.81006, -73.80072 40.80997, -73.79724 40.80912, -73.79119 40.80764, -73.79092 40.80728, -73.79087 40.80722, -73.79021 40.80504, -73.79086 40.80433, -73.79344 40.8043, -73.7958 40.80619, -73.79784 40.80656, -73.80146 40.80893, -73.8038 40.80851, -73.81001 40.81311, -73.81686 40.81369, -73.82047 40.81317, -73.82635 40.8112, -73.82957 40.81107, -73.8319 40.80886, -73.83143 40.80683, -73.83183 40.80494, -73.8345 40.80501, -73.83798 40.80623, -73.84043 40.81187, -73.83998 40.81639, -73.84022 40.81722, -73.83873 40.81956, -73.83865 40.82197, -73.84267 40.82804, -73.84281 40.82864)))",18.06,3.97,2.18
"11235",54646,78775,13327,8391,1356,32338,24,36119,0.07,7.13,8.47,35296,35.57,48.25,8.63,38.98,0.5,0,0.27,0.61,9.74,4.71,5.56,484,2457,3342,197,7.67,72.82,1.95,0.09,13.64,2943,46.16,42.91,44.2,"MULTIPOLYGON (((-73.97073 40.58319, -73.96678 40.5839, -73.96661 40.58458, -73.96915 40.58487, -73.96633 40.5859, -73.96797 40.58863, -73.96564 40.58889, -73.96513 40.59111, -73.96068 40.5916, -73.959 40.59178, -73.93301 40.59464, -73.93025 40.59438, -73.92986 40.59372, -73.93088 40.59138, -73.93073 40.58963, -73.92797 40.58876, -73.92792 40.5875, -73.92595 40.58501, -73.93137 40.58607, -73.9301 40.5845, -73.93184 40.58308, -73.93195 40.58202, -73.9325 40.58116, -73.93112 40.57612, -73.93164 40.57567, -73.93156 40.57596, -73.93766 40.57543, -73.94629 40.5756, -73.95248 40.57484, -73.95572 40.57444, -73.95942 40.57402, -73.95941 40.57516, -73.96675 40.57483, -73.96992 40.57558, -73.96913 40.58005, -73.9676 40.58036, -73.96733 40.58151, -73.97113 40.58202, -73.97073 40.58319)))",27.57,8.23,3.74
"10462",54278,75714,14391,7739,1382,29536,23.87,37093,0,4.95,8.91,36498,26.98,61.86,15.33,44.57,0.91,0,1.45,0.48,6.32,2.51,9.37,465,2103,2753,165,45.96,11.84,25.05,0.43,13.5,1659,55.12,46.39,36.6,"MULTIPOLYGON (((-73.87165 40.84424, -73.87119 40.84998, -73.87176 40.85411, -73.87049 40.85642, -73.86933 40.85665, -73.86838 40.85781, -73.86179 40.85798, -73.86192 40.85678, -73.853 40.84529, -73.85113 40.84411, -73.85521 40.84297, -73.85334 40.84247, -73.8529 40.84107, -73.84591 40.83627, -73.84323 40.83523, -73.84003 40.83566, -73.83996 40.8349, -73.84421 40.83134, -73.84441 40.8306, -73.84228 40.83127, -73.84231 40.8288, -73.84281 40.82864, -73.84392 40.82845, -73.84525 40.82846, -73.86033 40.83313, -73.86272 40.83302, -73.86681 40.83484, -73.86294 40.8343, -73.86355 40.83787, -73.86489 40.83977, -73.86394 40.84004, -73.86446 40.84109, -73.86517 40.84247, -73.86802 40.84484, -73.86828 40.84497, -73.87041 40.8454, -73.87182 40.84346, -73.87165 40.84424)))",29.23,7.25,2.19
"10305",79742,42726,5191,3172,1329,14565,12.61,18719,0,7.17,7.46,18370,56.28,37.32,26.06,7.23,0.77,3.2,0.05,0.57,2.92,2.41,6.02,177,738,811,153,15.97,60.14,7.01,0,14.78,741,18.15,43.95,39.1,"MULTIPOLYGON (((-74.09849 40.58711, -74.08925 40.59411, -74.08773 40.59601, -74.08548 40.60113, -74.08164 40.60618, -74.07943 40.6091, -74.07455 40.61694, -74.07131 40.61964, -74.07032 40.62122, -74.07356 40.62479, -74.0735 40.62688, -74.07269 40.62684, -74.07093 40.62271, -74.06371 40.61751, -74.06225 40.61512, -74.06034 40.612, -74.05689 40.60801, -74.05312 40.60368, -74.05789 40.59567, -74.05918 40.5935, -74.06818 40.5841, -74.0908 40.56646, -74.09086 40.5664, -74.09259 40.56824, -74.08877 40.57238, -74.0858 40.57413, -74.08986 40.57619, -74.08897 40.57715, -74.09344 40.57905, -74.092 40.58089, -74.09617 40.58304, -74.09772 40.58181, -74.10198 40.58458, -74.09849 40.58711)))",19.57,4.4,1.73
"11210",69385,64665,7557,5983,1400,21893,14.88,30108,0.08,3.84,9.08,29382,33.69,55.18,13.29,40.67,0.79,0.27,0.74,0.51,5.7,3.3,6.53,345,1482,2004,199,6.63,29.92,56.88,0,3.99,2264,40.79,43.75,36.3,"MULTIPOLYGON (((-73.9584 40.63633, -73.9557 40.63762, -73.95427 40.63911, -73.9536 40.63842, -73.94923 40.63855, -73.94938 40.63993, -73.94651 40.6401, -73.94265 40.64034, -73.9425 40.63896, -73.93776 40.63926, -73.93751 40.63692, -73.93561 40.63704, -73.93536 40.63477, -73.93439 40.63483, -73.93512 40.63243, -73.93415 40.63249, -73.93389 40.63015, -73.93487 40.63009, -73.93462 40.62775, -73.93345 40.6257, -73.93432 40.62489, -73.9369 40.62523, -73.93546 40.62387, -73.93723 40.62296, -73.94027 40.62262, -73.93999 40.62116, -73.94483 40.61605, -73.94574 40.61536, -73.94607 40.6171, -73.94699 40.617, -73.94657 40.61479, -73.94835 40.61414, -73.94826 40.61364, -73.94912 40.61305, -73.94931 40.61403, -73.95078 40.61163, -73.95258 40.61104, -73.95355 40.61628, -73.9561 40.62966, -73.9573 40.63051, -73.95636 40.63119, -73.95717 40.6354, -73.9582 40.63529, -73.9584 40.63633)))",20.94,6.23,3.5
"10034",54406,42399,7685,6319,1347,16156,31.68,22221,0,3.05,3.89,21514,13.41,68.29,7.73,59.92,0.61,0,0.92,0.44,9.39,6.1,5.55,185,1615,1533,123,69.2,19.99,6.24,0.04,2.88,843,72.25,39.4,36.7,"MULTIPOLYGON (((-73.9433 40.85249, -73.93779 40.85981, -73.93247 40.86762, -73.93252 40.86991, -73.92935 40.87536, -73.92641 40.87765, -73.92312 40.87731, -73.92267 40.87491, -73.92167 40.87328, -73.92028 40.87311, -73.92101 40.87555, -73.91882 40.87469, -73.91486 40.87441, -73.91146 40.87332, -73.91059 40.87246, -73.91118 40.86873, -73.91443 40.86419, -73.91714 40.86203, -73.91959 40.85883, -73.92199 40.85956, -73.9211 40.85757, -73.92216 40.85561, -73.92287 40.85587, -73.92289 40.85886, -73.92474 40.86159, -73.92662 40.86453, -73.92439 40.86536, -73.925 40.86634, -73.92936 40.86428, -73.93131 40.85933, -73.93302 40.85982, -73.93274 40.86294, -73.9338 40.86292, -73.93519 40.86027, -73.93901 40.85611, -73.9428 40.85117, -73.94319 40.84975, -73.947 40.85046, -73.9433 40.85249)))",33.03,8.15,1.99
