"GEOID","medincome","total_pop1","fpl_100","fpl_100to150","median_rent","total_hholds1","hholds_snap","over16total_industry1","ag_industry","construct_industry","transpo_and_utilities_industry","total_commute1","drove_commute","pubtrans_total_commute","pubtrans_bus_commute","pubtrans_subway_commute","pubtrans_railroad_commute","pubtrans_ferry_commute","taxi_commute","bicycle_commute","walked_commute","workhome_commute","unemployed","under19_noinsurance","age19_34_noinsurance","age35_64_noinsurance","age65plus_noinsurance","hisplat_raceethnic","nonhispLat_white_raceethnic","nonhispLat_black_raceethnic","nonhispLat_amerindian_raceethnic","nonhispLat_asian_raceethnic","age65_plus","no_vehicles","time_to_work","median_age","geometry","fpl_150","not_insured","age65_plus_share"
"11364",82028,36215,2669,1929,1801,13470,6.24,17917,0.2,5.29,7.45,17543,60.52,33.63,14.44,14.72,4.38,0,0.25,0.14,2.62,2.11,4.69,405,843,1251,87,11.51,32.86,3.01,0.83,50.14,1047,11.71,44.47,44.9,"MULTIPOLYGON (((-73.77981 40.75189, -73.77618 40.75289, -73.7721 40.75448, -73.76832 40.75547, -73.76186 40.75652, -73.76193 40.75577, -73.75944 40.7524, -73.75847 40.7533, -73.76038 40.75584, -73.75902 40.75835, -73.75732 40.75904, -73.75763 40.76011, -73.75955 40.75914, -73.76009 40.75995, -73.758 40.76038, -73.75682 40.75973, -73.75585 40.75776, -73.75555 40.7583, -73.75322 40.75825, -73.7523 40.75945, -73.75005 40.7584, -73.74711 40.75417, -73.7471 40.75235, -73.74578 40.75156, -73.74397 40.74763, -73.74612 40.74654, -73.74478 40.74328, -73.74785 40.7433, -73.75347 40.7424, -73.75139 40.74019, -73.74997 40.73975, -73.74396 40.74079, -73.74307 40.73844, -73.74029 40.73852, -73.74307 40.73546, -73.74674 40.73258, -73.74661 40.73339, -73.74595 40.73417, -73.74654 40.73578, -73.7637 40.73286, -73.76555 40.73254, -73.77011 40.73178, -73.77286 40.73628, -73.77576 40.74337, -73.7785 40.74688, -73.78001 40.75007, -73.77981 40.75189)))",12.7,7.14,2.89
"11420",79273,47470,5084,3338,1628,13121,13.68,23666,0.26,7.77,13.88,23247,53.55,39.91,11.48,27.12,1.3,0,0.59,0.05,1.71,2.76,7.39,272,1194,1573,93,25.01,5.03,23.85,0.88,32.57,855,19.45,45.48,39.7,"MULTIPOLYGON (((-73.8359 40.67575, -73.83208 40.67526, -73.83094 40.67812, -73.83175 40.67954, -73.81359 40.68471, -73.80802 40.68706, -73.80589 40.6829, -73.80139 40.67312, -73.80166 40.66676, -73.81032 40.66708, -73.81131 40.66412, -73.81207 40.66303, -73.81334 40.66281, -73.82301 40.66384, -73.82683 40.66371, -73.8327 40.66541, -73.83331 40.66676, -73.83698 40.67468, -73.8359 40.67575)))",17.74,6.6,1.8
"11356",61859,23494,2317,2248,1712,7501,9.09,10924,0.19,11.72,9.94,10797,60.87,31.57,13.61,17.17,0.29,0,0.14,0.49,4.53,1.93,3.3,221,1188,1074,44,40.22,23.47,1.78,0,31.82,384,20.86,40.86,38.5,"MULTIPOLYGON (((-73.85816 40.78703, -73.85662 40.78675, -73.85597 40.78767, -73.85325 40.78787, -73.8548 40.78884, -73.8545 40.79018, -73.85266 40.79126, -73.85377 40.79234, -73.8535 40.79415, -73.85249 40.79467, -73.84934 40.79337, -73.84871 40.79542, -73.84624 40.79616, -73.84371 40.79489, -73.84012 40.79688, -73.84041 40.7977, -73.83787 40.7985, -73.84026 40.79759, -73.83843 40.79679, -73.83663 40.79252, -73.83743 40.79139, -73.83725 40.7891, -73.83558 40.78956, -73.83383 40.78852, -73.83198 40.78945, -73.83102 40.78934, -73.83059 40.78464, -73.8269 40.78465, -73.82679 40.78167, -73.82528 40.7817, -73.82623 40.77992, -73.82853 40.77601, -73.83159 40.77256, -73.83343 40.77143, -73.83633 40.77853, -73.83886 40.77862, -73.83897 40.77677, -73.83998 40.7765, -73.84904 40.777, -73.84977 40.77873, -73.84985 40.78159, -73.84925 40.78226, -73.85539 40.78208, -73.85545 40.78314, -73.85808 40.78372, -73.85952 40.78556, -73.85816 40.78703)))",19.43,10.76,1.63
"11432",62148,64299,8948,7274,1541,18697,15.42,29986,0.12,7.39,9.74,29281,34.31,53.15,11.86,39.8,1.34,0,0.82,0.16,7.71,3.18,7.84,284,2250,3063,182,23.59,12.68,15.25,0.52,42.37,1573,37.04,44.42,36.1,"MULTIPOLYGON (((-73.80861 40.71842, -73.80904 40.71991, -73.79333 40.72528, -73.78946 40.72649, -73.78831 40.72596, -73.78575 40.72679, -73.7836 40.72841, -73.78317 40.72764, -73.7808 40.72843, -73.77985 40.7264, -73.77907 40.72496, -73.77804 40.72328, -73.77738 40.72244, -73.77551 40.71909, -73.77584 40.71767, -73.77357 40.71512, -73.78262 40.71294, -73.78031 40.709, -73.78036 40.70846, -73.78957 40.70722, -73.78916 40.70623, -73.79285 40.70442, -73.79489 40.70546, -73.79379 40.70403, -73.79609 40.70329, -73.79841 40.70274, -73.79915 40.70375, -73.80241 40.70185, -73.80413 40.70146, -73.80565 40.70467, -73.80695 40.70737, -73.80983 40.71281, -73.81022 40.71571, -73.80777 40.71572, -73.80823 40.71724, -73.81184 40.71787, -73.80861 40.71842)))",25.23,8.99,2.45
"11232",61200,26430,4881,2817,1561,8760,20.7,12933,0.09,7,4.49,12526,13.5,67.19,4.75,60.96,1.35,0,0.74,3.07,10.46,3.82,6.57,139,1317,1558,58,49.92,22.87,5.42,0.3,18.54,354,64.19,38.72,34.2,"MULTIPOLYGON (((-74.02094 40.65127, -74.02223 40.65204, -74.02088 40.65443, -74.01929 40.65409, -74.01994 40.65527, -74.01789 40.65405, -74.0164 40.65559, -74.01869 40.65778, -74.01586 40.65622, -74.01442 40.65763, -74.01744 40.65943, -74.01559 40.66074, -74.01194 40.65897, -74.01113 40.65968, -74.01407 40.66148, -74.01285 40.66202, -74.00876 40.65963, -74.00749 40.66055, -74.01041 40.66251, -74.00881 40.66335, -74.00613 40.66186, -74.00593 40.66315, -74.00355 40.66219, -74.00778 40.66472, -74.00339 40.663, -74.00485 40.66507, -74.00112 40.66291, -73.99952 40.6644, -74.00292 40.6664, -73.99989 40.6676, -73.99907 40.66845, -73.99846 40.67157, -73.99484 40.6668, -73.9958 40.66552, -73.99167 40.66303, -73.99284 40.66191, -74.00214 40.65296, -73.99782 40.65028, -73.99828 40.64973, -73.99398 40.6471, -73.99773 40.64341, -73.99993 40.64431, -74.00211 40.6461, -74.00066 40.64749, -74.00507 40.65015, -74.00624 40.64902, -74.01055 40.65163, -74.0094 40.65276, -74.01343 40.65245, -74.01926 40.64685, -74.02146 40.64818, -74.02088 40.64874, -74.02441 40.65092, -74.02094 40.65127)))",29.13,11.62,1.34
"10028",122969,46768,2476,818,2346,24640,0.99,29001,0,1.51,1.39,28564,8.47,62.11,8.74,52.01,1.13,0,4.23,1.65,15.97,6.95,2.87,57,458,566,16,6.91,80.94,1.02,0,9.64,3014,71.34,29.29,38.8,"MULTIPOLYGON (((-73.95992 40.78221, -73.95671 40.78086, -73.9572 40.78018, -73.95174 40.77788, -73.94507 40.77561, -73.94573 40.77362, -73.94434 40.77311, -73.9475 40.77012, -73.94701 40.77081, -73.9568 40.77497, -73.96323 40.77768, -73.95992 40.78221)))",7.04,2.35,6.44
"11206",39753,88422,30756,10951,1142,31163,38.15,37729,0.17,2.91,5.14,36754,12.87,67.14,5.13,61.48,0.39,0,0.63,2.33,11.81,4.82,9.22,608,3194,2311,156,37.56,34.1,19.72,0.17,6.7,627,71.05,35.08,29.3,"MULTIPOLYGON (((-73.95746 40.70082, -73.95381 40.70318, -73.95444 40.70375, -73.95024 40.70547, -73.95112 40.71096, -73.94379 40.7109, -73.94042 40.71122, -73.94031 40.71052, -73.93768 40.71118, -73.93832 40.71252, -73.9348 40.71337, -73.9323 40.70775, -73.93115 40.70377, -73.92759 40.70176, -73.92903 40.70029, -73.9278 40.69958, -73.93026 40.69853, -73.93522 40.69699, -73.9348 40.69674, -73.93413 40.69335, -73.93705 40.69302, -73.9372 40.69375, -73.93997 40.69268, -73.94564 40.69203, -73.94579 40.69277, -73.95181 40.6916, -73.95337 40.6994, -73.95702 40.69897, -73.95746 40.70082)))",47.17,7.09,0.71
"11228",72902,44348,5325,4555,1469,15124,13.42,20490,0.09,6.83,7.01,19802,40.43,46.87,10.37,35.99,0.45,0.06,0.24,0.63,7.48,3.85,5.22,306,945,1305,35,12.42,47.88,1.04,0.08,37.12,895,26.22,40.68,41.5,"MULTIPOLYGON (((-74.02755 40.61292, -74.02573 40.61605, -74.01971 40.62218, -74.01605 40.63103, -74.01285 40.62866, -74.01214 40.62868, -74.0061 40.62503, -74.00448 40.62315, -74.00169 40.62237, -73.99728 40.61971, -74.00082 40.61631, -74.00731 40.61008, -74.00982 40.60883, -74.01417 40.60399, -74.01471 40.60208, -74.01703 40.60248, -74.01896 40.60252, -74.01957 40.60272, -74.0155 40.60684, -74.01702 40.60766, -74.01839 40.60691, -74.0215 40.60783, -74.0243 40.60946, -74.02477 40.60968, -74.02279 40.6146, -74.02527 40.61552, -74.02667 40.61299, -74.02755 40.61292)))",22.28,5.84,2.02
"11040",129344,41592,1308,1370,1868,12958,4.5,20670,0.18,4.4,6.24,20401,75.33,17.71,2.91,5.85,8.96,0,0.15,0.33,2.03,3.99,2.97,197,654,850,100,14.15,42.62,1.49,0.21,37.85,1625,5.71,36.4,44.4,"MULTIPOLYGON (((-73.7101 40.75059, -73.70527 40.75477, -73.70163 40.75249, -73.69866 40.75343, -73.68778 40.75479, -73.68865 40.75716, -73.68878 40.75876, -73.68893 40.76017, -73.68964 40.76308, -73.68985 40.764, -73.68879 40.76509, -73.69016 40.76538, -73.69164 40.76857, -73.688 40.77068, -73.68655 40.76659, -73.68618 40.76396, -73.687 40.76344, -73.67265 40.76261, -73.66974 40.76314, -73.66853 40.76227, -73.66629 40.76039, -73.66532 40.75998, -73.66397 40.75989, -73.66039 40.76061, -73.65819 40.7544, -73.65763 40.75175, -73.6579 40.74632, -73.65749 40.74429, -73.651 40.73685, -73.65867 40.73611, -73.6609 40.73571, -73.66086 40.73556, -73.67983 40.73101, -73.67907 40.72919, -73.67978 40.72732, -73.68094 40.72722, -73.68207 40.7251, -73.68738 40.72535, -73.6879 40.72332, -73.69257 40.72378, -73.69336 40.72529, -73.69482 40.73045, -73.69393 40.73065, -73.70026 40.73885, -73.70002 40.73927, -73.70002 40.73939, -73.70098 40.7389, -73.70166 40.74072, -73.70084 40.7409, -73.70107 40.74307, -73.70242 40.74276, -73.70379 40.74644, -73.70288 40.74663, -73.7045 40.75098, -73.70795 40.7492, -73.7101 40.75059)))",6.44,4.33,3.91
"11105",79883,36983,3445,2009,1799,15225,8.45,22539,0.19,5.75,5.4,21718,23.16,63.86,3.13,60.17,0.37,0.05,0.21,1.02,5.94,5.21,3.44,146,955,1277,72,20.67,63.15,2.13,0.03,11.33,766,47.13,38.22,35.7,"MULTIPOLYGON (((-73.922 40.77795, -73.91797 40.78126, -73.91996 40.78263, -73.91717 40.78419, -73.91683 40.78519, -73.9126 40.78938, -73.9103 40.79066, -73.90018 40.78897, -73.89694 40.78662, -73.89583 40.78522, -73.89875 40.78278, -73.90119 40.78271, -73.90268 40.78059, -73.90129 40.78186, -73.89867 40.782, -73.89606 40.78319, -73.89379 40.78236, -73.89166 40.78084, -73.89254 40.77955, -73.8912 40.77856, -73.89252 40.77741, -73.8919 40.77676, -73.89289 40.77381, -73.90033 40.76881, -73.90066 40.76721, -73.90202 40.76742, -73.90419 40.76753, -73.91094 40.76885, -73.91431 40.77152, -73.92152 40.77661, -73.922 40.77795)))",14.75,6.62,2.07
"11222",93488,36872,3741,1931,2052,17446,8.8,24332,0.03,5.19,2.51,23797,13.37,65.95,2.7,60.93,0.36,1.97,1.25,4.56,9.05,5.18,3.69,116,1324,1153,68,15.38,73.71,2.94,0.17,4.32,641,62.01,35.3,34.9,"MULTIPOLYGON (((-73.96248 40.7368, -73.95706 40.73917, -73.95391 40.73942, -73.95254 40.73923, -73.94706 40.73752, -73.94216 40.73568, -73.94032 40.73319, -73.93966 40.73149, -73.93752 40.72981, -73.93442 40.72882, -73.92906 40.72769, -73.92781 40.72505, -73.93559 40.72299, -73.93504 40.72167, -73.9365 40.72125, -73.93529 40.71852, -73.93731 40.71893, -73.94038 40.71809, -73.94059 40.71921, -73.95006 40.7183, -73.95065 40.72171, -73.95165 40.72349, -73.95475 40.7206, -73.95604 40.7214, -73.95478 40.72246, -73.95568 40.72394, -73.95757 40.7251, -73.95772 40.7243, -73.96161 40.72495, -73.96108 40.72915, -73.96223 40.73265, -73.96248 40.7368)))",15.38,7.22,1.74
"11371",NA,0,0,0,NA,0,NA,0,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,NA,NA,NA,NA,NA,0,NA,NA,NA,"MULTIPOLYGON (((-73.88908 40.77357, -73.88432 40.77418, -73.88505 40.7784, -73.88493 40.77994, -73.88139 40.7806, -73.87871 40.78059, -73.87931 40.78185, -73.87834 40.78303, -73.87515 40.78152, -73.87125 40.78604, -73.86918 40.78594, -73.86942 40.78359, -73.87256 40.78082, -73.86471 40.77673, -73.85518 40.77178, -73.85642 40.77035, -73.8582 40.77032, -73.85621 40.7692, -73.85938 40.76707, -73.86275 40.76676, -73.86043 40.76387, -73.86094 40.76373, -73.86273 40.76589, -73.86598 40.76886, -73.87026 40.77136, -73.8726 40.77183, -73.8752 40.77177, -73.87788 40.77115, -73.88432 40.76798, -73.88773 40.76691, -73.88873 40.76892, -73.88942 40.77305, -73.88908 40.77357)))",NA,NA,NA
"11212",26521,75605,25556,10506,942,31802,44.11,28321,0.13,4.12,10.05,26773,21.3,68.45,14.55,52.24,1.62,0,0.47,0.33,6.92,2.23,17.86,361,2263,3128,139,19.2,1.7,76.31,0.01,1.1,1194,74.08,44.66,38.3,"MULTIPOLYGON (((-73.93161 40.66356, -73.93068 40.66362, -73.92854 40.66457, -73.92638 40.66551, -73.92439 40.66638, -73.92275 40.6671, -73.91838 40.669, -73.92004 40.66914, -73.91487 40.67053, -73.90348 40.67551, -73.90042 40.66381, -73.90066 40.66059, -73.89881 40.65741, -73.89904 40.65737, -73.90317 40.6553, -73.90786 40.65459, -73.90973 40.65431, -73.91758 40.65431, -73.921 40.65492, -73.92178 40.65442, -73.9272 40.65854, -73.92726 40.65934, -73.92819 40.66018, -73.93156 40.66276, -73.93161 40.66356)))",47.7,7.79,1.58
"11237",53303,48876,14135,5612,1578,17056,26.41,26338,0.43,7.38,5.7,25794,13.14,69.31,3.09,65.54,0.64,0,0.35,3.16,9.13,4.03,5.79,392,3395,3394,73,63.54,19.38,7.92,0.26,6.75,434,70.77,37.74,30.7,"MULTIPOLYGON (((-73.9348 40.71337, -73.92271 40.71648, -73.92433 40.71557, -73.92404 40.71401, -73.92074 40.71053, -73.92189 40.7094, -73.91181 40.70343, -73.9129 40.70236, -73.91068 40.70105, -73.91181 40.69994, -73.90426 40.6957, -73.9058 40.69413, -73.90207 40.692, -73.9036 40.69041, -73.90885 40.6934, -73.91186 40.69512, -73.9103 40.6967, -73.91181 40.69755, -73.91336 40.69597, -73.91637 40.69768, -73.91782 40.69621, -73.92759 40.70176, -73.93115 40.70377, -73.9323 40.70775, -73.9348 40.71337)))",40.4,14.84,0.89
"10452",29579,75452,27154,11050,1166,26437,46.39,30756,0.03,4.68,7.42,30051,15.05,71.77,15.43,54.61,1.35,0,1.13,0.52,8.69,2.44,10.56,559,3505,3737,241,69.44,1.82,25.8,0.13,1.55,718,77.5,41.58,31.8,"MULTIPOLYGON (((-73.93346 40.83318, -73.93301 40.83568, -73.9295 40.84238, -73.92816 40.84549, -73.92473 40.84481, -73.92269 40.84457, -73.9206 40.84629, -73.91672 40.84543, -73.91526 40.84596, -73.91114 40.84506, -73.91193 40.84327, -73.91314 40.83981, -73.91478 40.83752, -73.91903 40.83309, -73.92046 40.83091, -73.92267 40.82685, -73.92876 40.82919, -73.93096 40.82833, -73.93306 40.82816, -73.93346 40.83318)))",50.63,10.66,0.95
"11414",75471,28313,2718,1599,1636,10741,9.28,13120,0,9.65,7.98,12826,62.89,32.34,8.59,23.16,0.15,0,1.01,0.15,2.82,0.51,4.78,96,248,610,12,21.77,69.53,2.07,0,4.09,1046,15.78,41.04,46.6,"MULTIPOLYGON (((-73.86317 40.65828, -73.86036 40.65965, -73.85761 40.66012, -73.85843 40.66345, -73.85568 40.66387, -73.85763 40.67166, -73.86039 40.67127, -73.86132 40.67502, -73.85711 40.67357, -73.83724 40.66736, -73.83331 40.66676, -73.8327 40.66541, -73.82987 40.65997, -73.82839 40.65603, -73.82641 40.64826, -73.82887 40.64936, -73.83094 40.65163, -73.83129 40.65347, -73.83105 40.64909, -73.83167 40.64797, -73.83557 40.64846, -73.83683 40.65267, -73.83763 40.65251, -73.83633 40.64532, -73.84717 40.64424, -73.85017 40.64462, -73.8527 40.64692, -73.85202 40.64867, -73.84987 40.65151, -73.8523 40.65053, -73.85491 40.65095, -73.85654 40.64992, -73.85975 40.6541, -73.86048 40.65466, -73.86317 40.65828)))",15.25,3.41,3.69
"10014",133501,30344,1735,521,2480,18013,2.4,20614,0,0.87,0.64,20428,8.26,52.27,1.53,49.56,1.04,0,3.7,3.78,20.17,10.56,5.36,14,417,550,2,6.98,83.31,1.32,0,4.69,1371,79.23,23.16,37.6,"MULTIPOLYGON (((-74.01573 40.72542, -74.01182 40.72508, -74.01165 40.72591, -74.01522 40.72634, -74.01157 40.72644, -74.01138 40.72823, -74.01436 40.72861, -74.01407 40.73069, -74.01116 40.73044, -74.0142 40.7315, -74.01108 40.73145, -74.01066 40.73602, -74.01301 40.73612, -74.01058 40.73697, -74.01039 40.73914, -74.01166 40.73922, -74.01146 40.74082, -74.00966 40.74074, -74.00937 40.7423, -74.01233 40.74262, -74.00933 40.74257, -74.0082 40.74215, -74.00771 40.74283, -74.00486 40.74164, -74.00537 40.74094, -74.00252 40.73975, -73.99956 40.73361, -74.00095 40.73171, -74.00315 40.72766, -74.00373 40.72625, -74.00554 40.72716, -74.00962 40.72756, -74.01198 40.72433, -74.01599 40.72477, -74.01573 40.72542)))",7.43,3.24,4.52
"10310",76075,23800,3886,1706,1296,8526,18.53,10629,0.06,6.58,6.92,10470,59.26,30.56,20.54,3.2,0.16,6.66,0.05,0.16,6.64,2.45,4.24,103,516,882,29,31.07,42,19.46,0.09,5.69,573,24.92,39.98,39.1,"MULTIPOLYGON (((-74.13205 40.62366, -74.12902 40.6289, -74.13061 40.63132, -74.12844 40.63367, -74.12689 40.63721, -74.12696 40.64018, -74.12374 40.6402, -74.12066 40.6412, -74.12057 40.64216, -74.12019 40.6422, -74.10473 40.64514, -74.10655 40.64424, -74.10542 40.6389, -74.10447 40.63718, -74.10313 40.63735, -74.10253 40.63466, -74.10598 40.63429, -74.105 40.62814, -74.10352 40.62376, -74.10682 40.62179, -74.11001 40.62069, -74.11331 40.62304, -74.11713 40.62453, -74.11841 40.62376, -74.11967 40.62174, -74.12204 40.62418, -74.1247 40.62368, -74.12452 40.62303, -74.12629 40.62384, -74.13061 40.62349, -74.13205 40.62366)))",23.5,6.43,2.41
"10464",96366,4531,322,346,1426,1851,12.86,2348,0,5.79,1.58,2328,59.02,23.45,6.1,14.95,2.41,0,0,0,10.14,6.79,5.96,0,137,187,0,42.02,52.5,0.02,0,5.01,164,16.69,NA,42.1,"MULTIPOLYGON (((-73.77166 40.85491, -73.77244 40.85974, -73.77055 40.86033, -73.76887 40.85834, -73.76526 40.85536, -73.76628 40.8548, -73.76804 40.85383, -73.76873 40.85098, -73.76941 40.84815, -73.76718 40.84487, -73.76723 40.84486, -73.76965 40.84466, -73.77197 40.84703, -73.77101 40.84989, -73.77251 40.85168, -73.77166 40.85491)), ((-73.79245 40.857, -73.78958 40.85942, -73.78879 40.85848, -73.78806 40.85413, -73.78803 40.85411, -73.7876 40.85381, -73.78475 40.85179, -73.78455 40.85144, -73.78217 40.84736, -73.78215 40.84668, -73.78209 40.84462, -73.78223 40.84273, -73.78225 40.84236, -73.78121 40.83889, -73.78258 40.8376, -73.78387 40.83679, -73.7854 40.838, -73.78822 40.84204, -73.79104 40.84655, -73.78951 40.85139, -73.79225 40.85582, -73.79247 40.85579, -73.79245 40.857)), ((-73.8233 40.8731, -73.81993 40.88212, -73.81981 40.88557, -73.81936 40.88573, -73.81541 40.88665, -73.81516 40.889, -73.81362 40.8887, -73.79294 40.88341, -73.7937 40.8829, -73.7961 40.87701, -73.798 40.8743, -73.79899 40.87448, -73.80096 40.87137, -73.80255 40.87046, -73.80298 40.8689, -73.80547 40.86885, -73.80882 40.87125, -73.80671 40.86874, -73.80491 40.86825, -73.80479 40.8666, -73.80307 40.86699, -73.80232 40.86559, -73.798 40.87213, -73.79522 40.87232, -73.79402 40.87433, -73.79344 40.87701, -73.79452 40.8775, -73.79309 40.87938, -73.78926 40.88078, -73.78924 40.87898, -73.78642 40.87915, -73.7853 40.87663, -73.7877 40.873, -73.78582 40.87364, -73.78539 40.87205, -73.78378 40.87374, -73.78337 40.87182, -73.78598 40.86948, -73.79121 40.86895, -73.79311 40.86355, -73.79077 40.86081, -73.7919 40.86083, -73.79369 40.85918, -73.79403 40.85655, -73.79837 40.85424, -73.7982 40.85196, -73.80011 40.84814, -73.80041 40.8482, -73.80173 40.84846, -73.8037 40.85197, -73.80547 40.8551, -73.80476 40.85852, -73.80501 40.85855, -73.80457 40.86119, -73.80566 40.86123, -73.80665 40.86098, -73.80758 40.86039, -73.80759 40.85881, -73.80772 40.85882, -73.81097 40.86271, -73.81385 40.86403, -73.8151 40.86306, -73.81509 40.86524, -73.81675 40.86454, -73.81634 40.8661, -73.82127 40.86907, -73.8233 40.8731)))",14.74,7.15,3.62
"11694",84485,21202,2259,1022,1377,8497,8.84,9755,0,6.69,5.32,9632,65,23.76,7.22,14.13,0,1.85,0.12,0.69,6.48,3.17,5.5,158,206,565,16,15.17,73.55,5.79,0.75,2.92,694,22.47,44.32,48,"MULTIPOLYGON (((-73.86734 40.56799, -73.86447 40.56914, -73.86653 40.5727, -73.8632 40.57413, -73.86288 40.57606, -73.85305 40.58125, -73.85044 40.58213, -73.84518 40.58158, -73.83935 40.58186, -73.83866 40.58271, -73.83584 40.58288, -73.82852 40.58485, -73.82805 40.58608, -73.82326 40.58747, -73.82146 40.58677, -73.81932 40.58796, -73.81931 40.58931, -73.81913 40.58805, -73.81937 40.58583, -73.82017 40.58552, -73.8177 40.5832, -73.8157 40.58343, -73.8155 40.58229, -73.83441 40.5772, -73.83704 40.57628, -73.86656 40.56599, -73.866 40.56823, -73.86734 40.56799)))",15.47,4.46,3.27
"11357",85818,39407,2078,2293,1793,14477,6.21,18185,0.22,8.75,6.48,17684,69.73,25.8,11.72,12.68,1.4,0,0.02,0,1.4,2.5,5.86,200,495,1183,142,15.68,58.97,0.45,0,23.12,1289,10.87,39.59,46.7,"MULTIPOLYGON (((-73.83139 40.79137, -73.82912 40.79188, -73.8278 40.79322, -73.82907 40.79656, -73.82504 40.79739, -73.81991 40.80094, -73.81605 40.79855, -73.81289 40.79715, -73.81161 40.79737, -73.80534 40.79616, -73.80328 40.79671, -73.80103 40.79652, -73.79674 40.79521, -73.79654 40.79561, -73.79461 40.79493, -73.79495 40.79175, -73.79374 40.78905, -73.79299 40.78881, -73.79266 40.79052, -73.79071 40.78822, -73.79494 40.78627, -73.79412 40.7861, -73.79336 40.7817, -73.79035 40.77457, -73.79163 40.77424, -73.79271 40.77379, -73.80389 40.7749, -73.80398 40.77419, -73.8066 40.77511, -73.81278 40.7756, -73.82167 40.77686, -73.82583 40.77591, -73.82741 40.77666, -73.82853 40.77601, -73.82623 40.77992, -73.82567 40.77973, -73.82508 40.78071, -73.82462 40.78171, -73.82528 40.7817, -73.82679 40.78167, -73.8269 40.78465, -73.83059 40.78464, -73.83102 40.78934, -73.83198 40.78945, -73.83139 40.79137)))",11.09,5.13,3.27
