STATION,NAME,DATE,AWND,PGTM,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF2,WDF5,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,REPORT_TYPE,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyMaximumDryBulbTemperature,DailyPrecipitation,DailySnowDepth,DailySnowfall,Sunrise,Sunset,daylight_time
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-23,7.16,,0.0,0.0,7.1,,20,7,,290.0,280.0,16.1,25.9,,,,,,,,SOD  ,,14.0,51.0,,7.2,20.0,0.0,7.0,0.0,07:14:00,17:02:00,588
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-24,8.05,,0.0,0.0,5.9,,20,10,,250.0,240.0,17.0,30.0,,,,,,,,SOD  ,,15.0,43.0,,8.1,20.0,0.0,6.0,0.0,07:13:00,17:03:00,590
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-25,7.61,,0.04,1.0,3.9,,28,19,,230.0,240.0,17.0,30.0,,,,,,,,SOD  ,,24.0,59.0,,7.6,28.0,0.04,4.0,1.0,07:12:00,17:05:00,593
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-26,,,0.0,0.0,3.9,,34,17,,280.0,280.0,16.1,25.9,,,,,,,,SOD  ,5.0,26.0,46.0,18.0,,34.0,0.0,4.0,0.0,07:12:00,17:06:00,594
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-27,7.83,,0.0,0.0,3.1,,44,21,,300.0,300.0,17.0,30.0,,,,,,,,SOD  ,14.0,33.0,45.0,27.0,7.8,44.0,0.0,3.0,0.0,07:11:00,17:07:00,596
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-28,6.04,,0.0,0.0,1.2,,21,12,,310.0,280.0,15.0,23.9,,,,,,,,SOD  ,-7.0,17.0,32.0,12.0,6.1,21.0,0.0,1.0,0.0,07:10:00,17:08:00,598
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-29,6.49,,0.04,0.8,2.0,,23,14,,260.0,250.0,15.0,23.0,,,,,,,,SOD  ,0.0,19.0,45.0,14.0,6.4,23.0,0.04,2.0,0.8,07:09:00,17:10:00,601
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-30,3.8,,0.0,0.0,1.0,,30,16,,270.0,270.0,8.9,16.1,,,,,,,,SOD  ,2.0,23.0,41.0,18.0,3.8,30.0,0.0,1.0,0.0,07:08:00,17:11:00,603
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-01-31,4.92,,0.0,0.0,1.2,,39,25,,260.0,260.0,14.1,21.0,,,,,,,,SOD  ,11.0,32.0,40.0,26.0,5.0,39.0,0.0,1.0,0.0,07:07:00,17:12:00,605
USW00094728,"NY CITY CENTRAL PARK, NY US",2014-02-01,3.58,,0.0,0.0,1.2,,45,36,,180.0,190.0,13.0,19.0,,,,,,,1.0,SOD  ,21.0,41.0,49.0,34.0,3.5,45.0,0.0,1.0,0.0,07:06:00,17:13:00,607
